City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
97,afaahiti,-17.75,-149.2833,29.48,79,66,6.62,PF,2023-04-19 02:37:00
98,hermanus,-34.4187,19.2345,13.22,75,65,3.56,ZA,2023-04-19 02:36:54
99,stanley,54.868,-1.6985,6.5,94,5,2.57,GB,2023-04-19 02:34:03
100,miles city,46.4083,-105.8406,12.54,40,100,4.12,US,2023-04-19 02:41:23
101,saint-joseph,-21.3667,55.6167,24.21,79,13,4.6,RE,2023-04-19 02:35:13
102,darnah,32.767,22.6367,14.99,80,16,6.49,LY,2023-04-19 02:41:23
103,raduzhny,62.0961,77.475,-8.17,84,100,4.78,RU,2023-04-19 02:37:01
104,porbandar,21.6422,69.6093,28.22,60,62,5.69,IN,2023-04-19 02:41:23
105,masonboro,34.1793,-77.8475,18.34,61,0,3.6,US,2023-04-19 02:41:23
106,opuwo,-18.0607,13.84,20.87,53,61,1.94,NA,2023-04-19 02:41:23
107,tual,-5.6667,132.75,28.08,74,56,2.9,ID,2023-04-19 02:36:50
108,kone,-21.0595,164.8658,26.85,72,65,2.95,NC,2023-04-19 02:41:24
109,nemuro,43.3236,145.575,4.8,79,100,2.22,JP,2023-04-19 02:36:57
110,udachny,66.4167,112.4,-6.33,81,57,5.04,RU,2023-04-19 02:36:47
111,college,64.8569,-147.8028,-0.23,53,75,4.63,US,2023-04-19 02:36:52
112,bandar abbas,27.1865,56.2808,20.99,78,6,3.09,IR,2023-04-19 02:41:24
113,lata,40.1629,-8.3327,11.62,46,100,1.12,PT,2023-04-19 02:41:24
114,khovd,48.0056,91.6419,1.47,11,0,3.52,MN,2023-04-19 02:41:24
115,leer,53.2316,7.461,7.18,86,53,4.79,DE,2023-04-19 02:41:24
116,punta arenas,-53.15,-70.9167,9.06,81,40,6.69,CL,2023-04-19 02:36:45
117,wailua homesteads,22.0669,-159.378,22.08,91,100,10.29,US,2023-04-19 02:36:53
118,tocopilla,-22.092,-70.1979,19.81,75,29,4.1,CL,2023-04-19 02:41:24
119,ghat,24.9647,10.1728,20.27,24,3,0.74,LY,2023-04-19 02:41:24
120,oruro,-17.9833,-67.15,7.7,23,35,3.01,BO,2023-04-19 02:37:04
121,nova sintra,14.8667,-24.7167,20.44,78,100,6.91,CV,2023-04-19 02:36:56
122,yaren,-0.5472,166.916,28.64,75,76,3.83,NR,2023-04-19 02:41:24
